 0.5304357E+00   single scattering albedo
 0.2495167E+01   scattering cross section
 0.4703995E+01   extinction cross section
 Normalized scattering matrix:
 theta(degrees)     F11                  F12                  F13                  F14                  F21                  F22                  F23                  F24                  F31                  F32                  F33                  F34                  F41                  F42                  F43                  F44
  18.000     0.5940491199E+01    -0.1126257539E+01     0.0000000000E+00     0.0000000000E+00    -0.1126257539E+01     0.5940491199E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5437171936E+01     0.1305664897E+01     0.0000000000E+00     0.0000000000E+00    -0.1305664897E+01     0.5437171936E+01
  19.000     0.4942810535E+01    -0.1032787085E+01     0.0000000000E+00     0.0000000000E+00    -0.1032787085E+01     0.4942810535E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.4455855370E+01     0.1117589712E+01     0.0000000000E+00     0.0000000000E+00    -0.1117589712E+01     0.4455855370E+01
  20.000     0.4117071152E+01    -0.9520201087E+00     0.0000000000E+00     0.0000000000E+00    -0.9520201087E+00     0.4117071152E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3644191980E+01     0.9625806808E+00     0.0000000000E+00     0.0000000000E+00    -0.9625806808E+00     0.3644191980E+01
  21.000     0.3421611071E+01    -0.8785616755E+00     0.0000000000E+00     0.0000000000E+00    -0.8785616755E+00     0.3421611071E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2959935665E+01     0.8281539083E+00     0.0000000000E+00     0.0000000000E+00    -0.8281539083E+00     0.2959935665E+01
  22.000     0.2834277391E+01    -0.8085980415E+00     0.0000000000E+00     0.0000000000E+00    -0.8085980415E+00     0.2834277391E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2381694078E+01     0.7044139504E+00     0.0000000000E+00     0.0000000000E+00    -0.7044139504E+00     0.2381694078E+01
  23.000     0.2343940020E+01    -0.7404429317E+00     0.0000000000E+00     0.0000000000E+00    -0.7404429317E+00     0.2343940020E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1899920583E+01     0.5855913758E+00     0.0000000000E+00     0.0000000000E+00    -0.5855913758E+00     0.1899920583E+01
  24.000     0.1943624020E+01    -0.6743807197E+00     0.0000000000E+00     0.0000000000E+00    -0.6743807197E+00     0.1943624020E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1509408474E+01     0.4702120721E+00     0.0000000000E+00     0.0000000000E+00    -0.4702120721E+00     0.1509408474E+01
  25.000     0.1625944138E+01    -0.6120138764E+00     0.0000000000E+00     0.0000000000E+00    -0.6120138764E+00     0.1625944138E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1204157233E+01     0.3601486683E+00     0.0000000000E+00     0.0000000000E+00    -0.3601486683E+00     0.1204157233E+01
  26.000     0.1381069303E+01    -0.5554062724E+00     0.0000000000E+00     0.0000000000E+00    -0.5554062724E+00     0.1381069303E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.9749460816E+00     0.2590660751E+00     0.0000000000E+00     0.0000000000E+00    -0.2590660751E+00     0.9749460816E+00
  27.000     0.1196698785E+01    -0.5062865615E+00     0.0000000000E+00     0.0000000000E+00    -0.5062865615E+00     0.1196698785E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.8092101216E+00     0.1707728356E+00     0.0000000000E+00     0.0000000000E+00    -0.1707728356E+00     0.8092101216E+00
